sequence,exercise,sequence_status,camera_id,vggt_rotation_pairwise_p95_deg,vggt_center_dispersion_p95,refined_rotation_change_from_robust_init_deg,refined_center_change_from_robust_init,refined_center_change_scene_fraction,fx_change_fraction,fy_change_fraction,principal_point_change_px
benchpress_0003,benchpress,PASS,cam3,0.4460970892938648,0.0032261856653007007,0.06581604707009045,0.0009684525423167852,0.0003385166763257711,0.0,0.0,0.0
benchpress_0004,benchpress,PASS,cam1,0.06495741952597463,0.000752193312657509,0.0,0.0,0.0,0.0,0.0,0.0
benchpress_0004,benchpress,PASS,cam2,0.7110609671581081,0.005660557777840726,0.20596821480247315,0.0005831876255821575,0.00020094410781684943,0.0,0.0,0.0
benchpress_0004,benchpress,PASS,cam3,0.33357946080880974,0.004337516827678858,0.12426560984518782,0.003039211885878474,0.001047195952185339,0.0,0.0,0.0
deadlift_0000,deadlift,REVIEW,cam1,0.23158736209183034,0.002419272263725834,0.0,0.0,0.0,0.0,0.0,0.0
deadlift_0000,deadlift,REVIEW,cam2,0.709052693763974,0.013231296575063304,0.23647080903940498,0.0023212003106684817,0.0006085888068830624,0.0,0.0,0.0
deadlift_0000,deadlift,REVIEW,cam3,0.8341325715582231,0.022327555538888846,0.6667111211555522,0.0032243658357595227,0.0008453871679752922,0.0,0.0,0.0
deadlift_0001,deadlift,REVIEW,cam1,0.27384019438849944,0.001982508011145466,0.0,0.0,0.0,0.0,0.0,0.0
deadlift_0001,deadlift,REVIEW,cam2,1.246062863363088,0.016576947686915186,2.4201351456228615,0.006124500378019652,0.001577991846854452,0.0,0.0,0.0
deadlift_0001,deadlift,REVIEW,cam3,0.9752961551965335,0.008259071166861023,2.719014986769598,0.07712943802418297,0.019872580103257514,0.0,0.0,0.0
deadlift_0002,deadlift,REVIEW,cam1,0.23969151784660903,0.003330357500135199,0.0,0.0,0.0,0.0,0.0,0.0
deadlift_0002,deadlift,REVIEW,cam2,0.6741462623099371,0.00674636459079844,0.0007740558794998665,2.9704479615344424e-06,8.039160127920941e-07,0.0,0.0,0.0
deadlift_0002,deadlift,REVIEW,cam3,0.44133477366982826,0.006398184260418454,0.0020921677473966123,1.2845413534255347e-05,3.4764566707944405e-06,0.0,0.0,0.0
deadlift_0003,deadlift,REVIEW,cam1,0.2568238836915362,0.0034132304355320334,0.0,0.0,0.0,0.0,0.0,0.0
deadlift_0003,deadlift,REVIEW,cam2,1.094559879855476,0.022366216769786784,1.4950780409696252,0.0016534851464940574,0.0004430504617155297,0.0,0.0,0.0
deadlift_0003,deadlift,REVIEW,cam3,1.0067559139686475,0.02312397363784939,0.7877436063543115,0.015142098411245577,0.004057317180422856,0.0,0.0,0.0
latpulldown_0000,latpulldown,PASS,cam1,0.07710030606069507,0.0009376838120739775,0.0,0.0,0.0,0.0,0.0,0.0
latpulldown_0000,latpulldown,PASS,cam2,0.18582686539180154,0.002424850536992768,0.11577889221109168,0.000869433409777519,0.00030863093672936866,0.0,0.0,0.0
latpulldown_0000,latpulldown,PASS,cam3,0.1772546725231002,0.0027142843611791126,0.3666498739411057,0.0013227914546534592,0.0004695636964903044,0.0,0.0,0.0
latpulldown_0001,latpulldown,PASS,cam1,0.0434255209339897,0.0007284711086151788,0.0,0.0,0.0,0.0,0.0,0.0
latpulldown_0001,latpulldown,PASS,cam2,0.14280682539709386,0.0011678981276260956,0.33449941258626464,0.0008489806332765509,0.0002938816641615946,0.0,0.0,0.0
latpulldown_0001,latpulldown,PASS,cam3,0.20846529243104095,0.0033921721441041806,0.2604903851526426,0.007851405136687807,0.002717828790359564,0.0,0.0,0.0
latpulldown_0002,latpulldown,PASS,cam1,0.08658984292188873,0.0011024740725929117,0.0,0.0,0.0,0.0,0.0,0.0
latpulldown_0002,latpulldown,PASS,cam2,0.22777773253530156,0.0014898124656898412,4.831182115990019e-05,4.945409205343302e-07,1.664920257202432e-07,0.0,0.0,0.0
latpulldown_0002,latpulldown,PASS,cam3,0.30763939437670473,0.0035175154039029624,1.835116892281229e-05,4.186589427477255e-07,1.4094561758135737e-07,0.0,0.0,0.0
latpulldown_0003,latpulldown,REVIEW,cam1,0.07549135906611897,0.0006700574423694861,0.0,0.0,0.0,0.0,0.0,0.0
latpulldown_0003,latpulldown,REVIEW,cam2,0.20849601042547955,0.0018738675752650864,0.15038796176932967,0.0007430874821775831,0.00024287238188822752,0.0,0.0,0.0
latpulldown_0003,latpulldown,REVIEW,cam3,0.2798991387001886,0.003532296167625872,0.1972184712217202,0.002167079394930123,0.0007082930973957612,0.0,0.0,0.0
pushup_0000,pushup,REVIEW,cam1,0.17334309667698347,0.001587436077033861,0.0,0.0,0.0,0.0,0.0,0.0
pushup_0000,pushup,REVIEW,cam2,1.909994719820621,0.01428296922847457,0.39072392844382253,0.002680536196942942,0.001261354007688458,0.0,0.0,0.0
pushup_0000,pushup,REVIEW,cam3,1.3184663423085892,0.010393302502949278,2.550309955565573,0.004866904739329382,0.002290172318878684,0.0,0.0,0.0
pushup_0001,pushup,REVIEW,cam1,0.5010785623529257,0.001045781098296211,0.0,0.0,0.0,0.0,0.0,0.0
