sequence,exercise,status,reasons,stage1_success,stage1_status,stage1_nfev,stage1_cost,stage1_optimality,stage2_success,stage2_status,stage2_nfev,stage2_cost,stage2_optimality,points_initial,points_final,three_camera_tracks,observations_extracted,observations_final,rejected_tracks,good_samples,downweighted_samples,rejected_samples,pre_mean_px,pre_median_px,pre_p90_px,pre_p95_px,post_mean_px,post_median_px,post_p90_px,post_p95_px,pre_inlier_ratio,post_inlier_ratio,elapsed_sec
deadlift_0001,deadlift,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,3,183,12724.403781571064,52526.12118312065,True,3,63,6382.1018465599,26774.488945358138,48,32,5,484,318,16,22,2,0,7.653862283711704,6.676566189958461,13.56183003254263,20.746784079890308,4.72079260535441,3.4375384032035208,8.714399161970771,11.484229371928421,0.5566037735849056,0.8930817610062893,14.989243011921644
deadlift_0002,deadlift,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,4,15,12329.582150678794,252464.46805679856,True,3,11,2924.396775778824,265957.722524383,39,26,5,367,235,13,23,1,0,4.042328305699323,3.567078493716599,8.22538446523033,8.988498655338518,3.933671258253925,3.537869488745517,7.338597496444611,8.950887873917338,0.8936170212765957,0.9063829787234042,14.276874819770455
deadlift_0003,deadlift,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,3,29,10563.654285038647,523557.591137306,True,3,89,2958.7158437988273,30940.03073723933,40,24,2,394,236,16,24,0,0,4.949595783265735,4.293356108923824,9.675760399696042,10.720447505917683,3.2431596683357546,2.237540884399157,8.59820749978407,9.23279958674322,0.8177966101694916,0.885593220338983,14.502209329977632
latpulldown_0000,latpulldown,PASS,[],True,4,16,15388.363470440965,338268.74956494605,True,3,19,3875.552018608506,38590.00753298108,68,46,5,700,463,22,24,0,0,2.675965895544077,2.0982094859844036,6.089433327949597,6.89271750612403,2.480057185965019,1.8280925340956535,4.990595393222596,7.380679065818911,0.9654427645788337,0.9740820734341252,12.178320077247918
latpulldown_0001,latpulldown,PASS,[],True,4,17,10983.614060308246,546940.5596673791,True,3,32,3096.544124244759,42718.69555264306,61,43,1,615,466,18,23,1,0,3.457865260311406,2.951699208284346,7.0217525769434985,7.809038594693028,2.788846170109266,2.273724952850767,5.001918253446588,8.141422992834801,0.9613733905579399,0.944206008583691,11.720377864316106
latpulldown_0002,latpulldown,PASS,[],True,4,17,11030.345876304327,485032.9603884403,True,3,11,5703.362768202305,447218.60643291654,53,41,6,538,430,12,24,0,0,4.176740595407337,3.490739114514387,9.060862362382618,10.56052584988498,4.1630653087311735,3.490775325232213,9.263469715990318,11.211102635738005,0.8372093023255814,0.858139534883721,12.077942067757249
latpulldown_0003,latpulldown,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",True,4,16,21739.75818579302,314167.5186702181,True,3,21,4760.108482879141,49718.52577251553,76,48,6,749,469,28,22,2,0,4.082779782738383,3.7706555006409124,8.596433218278085,9.53572596738356,3.50679397282285,2.6428161028032457,9.341856062768038,11.452646988955562,0.8720682302771855,0.8891257995735607,10.01578910741955
pushup_0000,pushup,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,2,17,8188.626866934328,296074.29394967784,True,3,129,2215.8444243769095,8619.085086185225,36,22,0,335,217,14,23,1,0,4.864880229133695,5.026944182281299,7.908920447381692,8.33751809589285,3.751334056046012,3.104261072970318,9.092944510813728,10.698680412549345,0.9124423963133641,0.8894009216589862,11.310165168717504
pushup_0001,pushup,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,4,16,14606.191665370245,1028821.0871279828,True,3,67,1406.5095918624686,14006.997730669302,42,23,0,425,237,19,24,0,0,4.470286309520808,4.112484628438053,8.10882063193804,9.15563929681284,2.2881914899488303,1.9617177383895463,4.357772399569668,6.60402377099499,0.8818565400843882,0.9704641350210971,7.791318701580167
pushup_0002,pushup,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,3,18,13362.19366010547,1250021.5533270831,True,3,247,1301.2658767043756,12628.7366831153,33,18,0,328,164,15,23,1,0,4.514783926857094,3.773688524337613,7.954678037390367,9.897026893865595,2.5632737303150934,2.179759850480966,5.237687231562367,6.509882748934175,0.9085365853658537,0.975609756097561,10.779854795895517
pushup_0003,pushup,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,4,15,10498.589521493403,912429.8807081842,True,3,322,1657.9536839072907,18891.04913588637,38,21,1,342,183,17,24,0,0,5.1019629436395535,4.954228830310301,8.037445674813847,9.295044479071942,3.057221179416385,2.558894746575717,5.053964151798039,7.055627179509716,0.8961748633879781,0.9781420765027322,9.38251437060535
pushup_0004,pushup,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,4,18,16835.443126050952,643831.4553842561,True,3,83,1454.676734795883,37078.597191496265,47,23,0,457,206,24,23,1,0,3.8658671347843536,3.354263626112261,7.064623837609977,7.83979367449768,2.69956985822753,2.2207917756254343,5.451456349077768,7.374273088746428,0.9563106796116505,0.9805825242718447,10.009533545002341
squat_0000,squat,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,4,16,11039.930556912965,259808.05651315994,True,3,78,1542.7393447160987,14223.683429278955,43,23,3,378,198,20,22,2,0,3.9944031282536585,4.662230682978688,6.622121116084082,7.0773639855575725,3.6896044150662477,3.235647172675014,6.84689072566181,7.562741407396168,0.9949494949494949,0.9646464646464646,11.987011712044477
squat_0001,squat,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""CAM2_VGGT_OUTLIER_REQUIRES_UNCERTAINTY_PROPAGATION""]",True,4,14,8964.45338438315,893094.1725470033,True,3,90,2843.901164578331,15645.493832846014,46,32,1,402,289,14,21,2,1,4.813967624698228,4.826339147338073,8.16859030720256,8.792788798318114,4.000665145885171,3.58012313242407,7.4824789566951795,11.068216618891526,0.889273356401384,0.9238754325259516,10.500267427414656
squat_0002,squat,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,2,20,13081.07317507282,622053.9213791527,True,3,202,2765.5982588497304,21641.896707721695,53,34,2,493,323,19,23,1,0,4.4880080157333095,4.565078443582961,7.750508406677663,8.47966691755257,3.254168843038957,2.985537372274365,5.924021991241085,7.450939512443157,0.9226006191950464,0.9690402476780186,10.451214008033276
squat_0003,squat,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",True,4,18,15122.686934656405,335100.2835053622,True,3,32,4632.246544825322,27718.54659866018,68,48,8,637,448,20,23,0,1,4.189398267069682,3.852548655781677,7.464347473112324,8.498906791781533,3.445616464782777,2.6860944854055386,8.504533412070275,10.26533534967766,0.9263392857142857,0.8816964285714286,10.949486698955297
